stem,base_score,base_psnr,base_ssim,base_lpips,lapvar_gt,lapvar_render,lapvar_ratio_gt_over_render,oracle_sigma,oracle_alpha,oracle_score,oracle_dscore,oracle_dpsnr,oracle_dssim,oracle_dlpips,oracle_ext_sigma,oracle_ext_alpha,oracle_ext_score,oracle_ext_dscore,oracle_ext_dpsnr,oracle_ext_dssim,oracle_ext_dlpips,specmatch_pc_score,specmatch_pc_dscore,specmatch_pc_dpsnr,specmatch_pc_dssim,specmatch_pc_dlpips,specmatch_sh_score,specmatch_sh_dscore,specwiener_pc_score,specwiener_pc_dscore,specwiener_pc_dpsnr,specwiener_pc_dssim,specwiener_pc_dlpips,bestglobal_specgrid_key,bestglobal_specgrid_dscore,bestglobal_ext_key,bestglobal_ext_dscore
frame_000010,65.4391,22.9163,0.727758,0.253586,0.0130558,0.00139342,9.3696,1.6,0.3,65.696,0.25695,0.0385708,0.010782,0.00224131,1.6,0.3,65.696,0.25695,0.0385708,0.010782,0.00224131,62.4474,-2.99171,-0.311904,0.00156045,0.0712845,62.4207,-3.01842,64.9854,-0.453688,0.220807,0.010136,0.0222563,base(a=0),0,us_1.6_-0.15,-0.44571
frame_000120,57.8996,22.8648,0.631201,0.368882,0.00487371,0.000597398,8.15824,0,0,57.8996,0,0,0,0,0.6,-0.15,57.9044,0.00478715,0.00908525,0.000336289,0.000268817,55.226,-2.67366,-0.836803,-0.0281004,0.0332142,55.1866,-2.71302,56.4256,-1.47403,0.143848,-0.00340974,0.0364511,base(a=0),0,us_1.6_-0.15,-0.0676743
frame_000190,60.7802,21.9152,0.654292,0.299943,0.00950274,0.000958066,9.91867,1.6,0.15,60.8993,0.119103,-0.0264554,0.00231397,-0.00163892,1.6,0.15,60.8993,0.119103,-0.0264554,0.00231397,-0.00163892,57.5312,-3.24898,-0.83766,-0.0244353,0.0503331,57.5324,-3.2478,59.4268,-1.35336,0.0900723,-0.00737792,0.0296518,base(a=0),0,us_1.6_-0.15,-0.27659
frame_000260,59.5801,22.4469,0.648112,0.333285,0.00610007,0.000954356,6.39182,0,0,59.5801,0,0,0,0,0,0,59.5801,0,0,0,0,56.5978,-2.98234,-0.831441,-0.0381525,0.0334726,56.6021,-2.97801,57.2883,-2.29186,0.152222,-0.00407577,0.0565229,base(a=0),0,us_1.6_-0.15,-0.11383
frame_000440,58.566,21.8739,0.655298,0.355431,0.00523381,0.00104807,4.99374,0,0,58.566,0,0,0,0,1.6,-0.15,58.6668,0.10074,0.0640652,0.00298715,0.000682831,55.4876,-3.07843,-0.712244,-0.0350757,0.0399703,55.4218,-3.14421,57.0697,-1.49636,0.285853,0.0057044,0.0459751,base(a=0),0,us_1.6_-0.15,0.10074
frame_000510,62.3366,22.7177,0.773765,0.362675,0.00200796,0.000369079,5.44045,0,0,62.3366,0,0,0,0,1.6,-0.3,62.4585,0.121867,0.03734,0.00495899,0.00123265,58.8619,-3.47466,-0.510966,-0.0367406,0.0516466,58.7979,-3.53865,61.8102,-0.526379,0.126415,0.00585413,0.0194463,base(a=0),0,us_1.6_-0.15,0.117273
frame_000630,65.429,23.2967,0.763173,0.286106,0.0037079,0.00156451,2.37001,0,0,65.429,0,0,0,0,1.6,-0.15,65.5425,0.113487,0.0646244,0.00242877,-4.62234e-05,63.738,-1.69099,-0.274577,-0.0134649,0.0280573,63.7422,-1.6868,64.708,-0.720976,0.251067,0.000873804,0.0224458,base(a=0),0,us_1.6_-0.15,0.113487
frame_000710,66.0018,22.7868,0.778216,0.27542,0.00429865,0.00119684,3.59165,0,0,66.0018,0,0,0,0,0.6,-0.3,66.0779,0.0760977,0.0181185,0.00102091,-0.000864983,63.1966,-2.80516,-0.402168,-0.0131739,0.0542161,63.1542,-2.8476,64.9461,-1.05574,0.117056,0.00202584,0.0296687,base(a=0),0,us_1.6_-0.15,0.0606762
frame_000810,74.2989,29.1374,0.893923,0.250029,0.000468917,0.000567839,0.825792,0,0,74.2989,0,0,0,0,1.6,-0.3,75.3624,1.06346,0.429957,0.0130603,-0.010342,73.4415,-0.857418,0.296148,0.00454378,0.0292855,73.3617,-0.937246,73.9684,-0.330485,0.777507,0.0209826,0.0356617,base(a=0),0,us_1.6_-0.15,0.617082
frame_000910,73.8078,28.3443,0.87822,0.238633,0.00194365,0.000389133,4.99481,0,0,73.8078,0,0,0,0,0.6,-0.3,73.9047,0.0968239,0.015007,0.000642896,-0.00171332,71.5788,-2.22905,-0.242645,-0.00780302,0.0462344,71.5661,-2.24171,73.2935,-0.514289,0.0804912,0.000381112,0.0143504,base(a=0),0,us_1.6_-0.15,0.0876159
