frame,gt_log_lapvar,pred_log_lapvar_both,pred_log_lapvar_one,gt_reblur,pred_reblur,render_log_lapvar,log_ratio,pred_log_ratio,psnr,ssim,lpips,score
10,-2.020410,-2.154914,-2.333461,0.454720,0.439247,-4.088938,2.068528,1.934024,22.9163,0.72776,0.25359,65.4391
120,-3.021654,-3.524975,-3.601990,0.371472,0.317058,-5.021866,2.000212,1.496891,22.8648,0.63120,0.36888,57.8996
190,-2.373862,-3.222736,-3.268341,0.414469,0.339085,-4.543890,2.170028,1.321154,21.9152,0.65429,0.29994,60.7802
260,-2.570353,-2.997011,-3.100336,0.387619,0.344002,-4.400068,1.829715,1.403057,22.4469,0.64811,0.33328,59.5801
440,-2.856432,-3.069314,-3.020653,0.337545,0.332815,-4.471716,1.615284,1.402402,21.8739,0.65530,0.35543,58.5660
510,-3.847908,-3.524447,-3.382487,0.248043,0.280144,-5.509681,1.661773,1.985234,22.7177,0.77377,0.36268,62.3366
630,-3.103749,-2.722261,-2.781819,0.341513,0.373581,-3.914188,0.810439,1.191927,23.2967,0.76317,0.28611,65.4290
710,-3.222849,-3.172357,-3.270849,0.343817,0.356707,-4.401922,1.179073,1.229565,22.7868,0.77822,0.27542,66.0018
810,-5.223721,-4.033791,-3.861273,0.208729,0.311581,-5.060850,-0.162871,1.027059,29.1374,0.89392,0.25003,74.2989
910,-3.966959,-4.204369,-4.308342,0.274279,0.247791,-5.379494,1.412535,1.175125,28.3443,0.87822,0.23863,73.8078
1100,-4.396653,-4.589556,-4.526559,0.191526,0.170508,-5.116248,0.719595,0.526692,25.4622,0.87893,0.25696,71.3667
1180,-5.293388,-4.428504,-4.510417,0.109609,0.163248,-5.545072,0.251684,1.116568,24.0884,0.87523,0.29722,68.8214
1250,-3.965432,-3.991858,-4.077219,0.175380,0.179699,-4.790204,0.824772,0.798346,24.1481,0.87503,0.28588,69.3045
1320,-5.205234,-4.194725,-4.215390,0.146872,0.214726,-5.133875,-0.071359,0.939150,25.5082,0.87813,0.30266,69.5424
1400,-3.913137,-4.146817,-4.177214,0.323981,0.280014,-4.802284,0.889147,0.655467,30.4859,0.87812,0.18396,77.2765
1470,-2.747023,-3.188987,-3.259191,0.419513,0.380442,-4.262590,1.515567,1.073603,26.0119,0.76512,0.20717,70.2741
1540,-3.156233,-3.168253,-3.164942,0.373889,0.376587,-4.290357,1.134124,1.122104,27.9396,0.83678,0.18334,74.5336
1640,-4.235149,-3.923635,-3.904427,0.257268,0.301260,-4.977935,0.742786,1.054300,28.6774,0.92609,0.21841,76.2527
1720,-3.851978,-3.686594,-3.651812,0.249514,0.262985,-4.409991,0.558013,0.723397,30.9528,0.96972,0.15773,81.3540
1820,-3.658701,-4.138894,-4.248214,0.276373,0.244298,-4.772052,1.113351,0.633158,29.4162,0.95325,0.16557,79.6243
1930,-4.353513,-4.684982,-4.809015,0.213002,0.192881,-5.391951,1.038438,0.706969,28.8528,0.90362,0.22064,75.5948
2120,-3.748884,-4.321608,-4.383016,0.250645,0.205513,-4.947171,1.198287,0.625563,29.4148,0.92489,0.17750,78.2957
2190,-4.041045,-4.168716,-4.213233,0.237918,0.227288,-5.078866,1.037821,0.910150,32.8422,0.94764,0.15392,81.9776
2260,-5.034791,-3.910633,-3.952378,0.157679,0.247457,-4.591140,-0.443651,0.680507,30.2504,0.93439,0.20144,78.1245
2330,-4.416275,-4.235881,-4.277983,0.204243,0.220249,-4.696340,0.280065,0.460459,31.9412,0.95317,0.16032,81.3472
2440,-3.562077,-3.991036,-4.070791,0.266334,0.232154,-4.468494,0.906417,0.477458,29.0958,0.93971,0.16719,78.9613
2510,-4.153391,-4.060067,-3.986901,0.192345,0.199266,-4.789099,0.635708,0.729032,31.2152,0.95885,0.16460,80.9105
2650,-4.849792,-4.078818,-4.182361,0.145643,0.211262,-4.935356,0.085564,0.856538,29.8954,0.93589,0.19901,78.0535
