name,frame,psnr,ssim,lpips,score
frame_000010,10,22.916292,0.727758,0.253586,65.439086
frame_000120,120,22.864842,0.631201,0.368882,57.899645
frame_000190,190,21.915225,0.654292,0.299943,60.780191
frame_000260,260,22.446924,0.648112,0.333285,59.580128
frame_000440,440,21.873912,0.655298,0.355431,58.566023
frame_000510,510,22.717722,0.773765,0.362675,62.336590
frame_000630,630,23.296733,0.763173,0.286106,65.428982
frame_000710,710,22.786832,0.778217,0.275420,66.001811
frame_000810,810,29.137358,0.893923,0.250029,74.298914
frame_000910,910,28.344309,0.878220,0.238633,73.807834
frame_001100,1100,25.462216,0.878929,0.256963,71.366680
frame_001180,1180,24.088352,0.875234,0.297216,68.821379
frame_001250,1250,24.148112,0.875031,0.285884,69.304464
frame_001320,1320,25.508150,0.878129,0.302658,69.542417
frame_001400,1400,30.485908,0.878117,0.183963,77.276549
frame_001470,1470,26.011902,0.765122,0.207166,70.274146
frame_001540,1540,27.939601,0.836778,0.183337,74.533632
frame_001640,1640,28.677363,0.926085,0.218406,76.252720
frame_001720,1720,30.952830,0.969717,0.157731,81.353956
frame_001820,1820,29.416212,0.953250,0.165573,79.624331
frame_001930,1930,28.852799,0.903621,0.220637,75.594813
frame_002120,2120,29.414836,0.924892,0.177500,78.295659
frame_002190,2190,32.842219,0.947636,0.153919,81.977641
frame_002260,2260,30.250362,0.934391,0.201436,78.124528
frame_002330,2330,31.941196,0.953170,0.160316,81.347167
frame_002440,2440,29.095807,0.939713,0.167190,78.961285
frame_002510,2510,31.215151,0.958846,0.164599,80.910528
frame_002650,2650,29.895418,0.935889,0.199010,78.053514
