name,frame,lapvar,log_lapvar,hf025,log_hf025,reblur
frame_000010,10,1.67570151e-02,-4.088938,1.76933860e-02,-4.034564,0.292451
frame_000120,120,6.59221318e-03,-5.021866,1.29475986e-02,-4.346845,0.233854
frame_000190,190,1.06319683e-02,-4.543890,1.26981627e-02,-4.366298,0.258701
frame_000260,260,1.22765014e-02,-4.400068,7.80073646e-03,-4.853537,0.252325
frame_000440,440,1.14276931e-02,-4.471716,1.68987667e-02,-4.080515,0.225211
frame_000510,510,4.04739706e-03,-5.509681,9.59505399e-03,-4.646508,0.155087
frame_000630,630,1.99567433e-02,-3.914188,8.22095708e-03,-4.801069,0.277612
frame_000710,710,1.22537669e-02,-4.401922,1.79015250e-02,-4.022869,0.266141
frame_000810,810,6.34016842e-03,-5.060850,2.63283532e-02,-3.637109,0.244827
frame_000910,910,4.61015617e-03,-5.379494,3.31852933e-03,-5.708234,0.169581
frame_001100,1100,5.99848712e-03,-5.116248,2.85798643e-03,-5.857638,0.171503
frame_001180,1180,3.90666304e-03,-5.545072,6.99233580e-03,-4.962941,0.132449
frame_001250,1250,8.31076037e-03,-4.790204,5.61552768e-03,-5.182220,0.155667
frame_001320,1320,5.89367608e-03,-5.133875,2.39485401e-02,-3.731848,0.190876
frame_001400,1400,8.21097381e-03,-4.802284,2.76716718e-02,-3.587346,0.255514
frame_001470,1470,1.40857697e-02,-4.262590,2.07652092e-02,-3.874476,0.301050
frame_001540,1540,1.37000345e-02,-4.290357,2.67595051e-02,-3.620866,0.294825
frame_001640,1640,6.88827503e-03,-4.977935,2.92034078e-02,-3.533470,0.215908
frame_001720,1720,1.21552832e-02,-4.409991,2.62865529e-02,-3.638698,0.219126
frame_001820,1820,8.46299808e-03,-4.772052,2.60672880e-02,-3.647074,0.208479
frame_001930,1930,4.55308147e-03,-5.391951,9.79273848e-03,-4.626114,0.155549
frame_002120,2120,7.10347574e-03,-4.947171,1.17437098e-02,-4.444438,0.166094
frame_002190,2190,6.22696849e-03,-5.078866,1.72789907e-02,-4.058264,0.160085
frame_002260,2260,1.01412898e-02,-4.591140,2.35611497e-02,-3.748156,0.199184
frame_002330,2330,9.12863109e-03,-4.696340,1.71232274e-02,-4.067319,0.189628
frame_002440,2440,1.14645734e-02,-4.468494,1.43420594e-02,-4.244559,0.201053
frame_002510,2510,8.31995346e-03,-4.789099,2.41753010e-02,-3.722424,0.155602
frame_002650,2650,7.18789827e-03,-4.935356,9.87919628e-03,-4.617324,0.157574
