name,frame,lapvar,log_lapvar,hf025,log_hf025,reblur
frame_000000,0,1.17381439e-01,-2.142326,3.59445155e-02,-3.325779,0.441069
frame_000010,10,1.32601082e-01,-2.020410,3.78109106e-02,-3.275158,0.454720
frame_000020,20,1.49794415e-01,-1.898491,4.02536528e-02,-3.212555,0.462222
frame_000030,30,6.46011531e-02,-2.739523,2.25092538e-02,-3.793829,0.386928
frame_000040,40,5.92848770e-02,-2.825401,2.86668418e-02,-3.552014,0.371053
frame_000050,50,6.39730096e-02,-2.749294,2.86376818e-02,-3.553032,0.376534
frame_000060,60,5.68178780e-02,-2.867904,2.12356547e-02,-3.852074,0.367974
frame_000070,70,3.12015191e-02,-3.467288,2.51775087e-02,-3.681804,0.329913
frame_000100,100,2.88086478e-02,-3.547080,2.40069405e-02,-3.729412,0.308521
frame_000110,110,5.54073043e-02,-2.893044,2.83239679e-02,-3.564047,0.370460
frame_000120,120,4.87205796e-02,-3.021654,2.05601518e-02,-3.884400,0.371472
frame_000130,130,3.94464657e-02,-3.232811,1.88741524e-02,-3.969962,0.326195
frame_000140,140,5.53845288e-03,-5.196040,4.28143325e-03,-5.453467,0.192668
frame_000150,150,2.70367451e-02,-3.610558,1.36206301e-02,-4.296170,0.327797
frame_000160,160,2.59827767e-02,-3.650321,1.38571876e-02,-4.278951,0.306763
frame_000170,170,5.34455106e-02,-2.929093,2.20639866e-02,-3.813809,0.379073
frame_000180,180,4.64915112e-02,-3.068486,2.63739366e-02,-3.635379,0.343767
frame_000190,190,9.31204110e-02,-2.373862,2.63558731e-02,-3.636064,0.414469
frame_000200,200,5.49310409e-02,-2.901677,2.50925512e-02,-3.685184,0.360804
frame_000210,210,2.94274352e-02,-3.525828,6.13570827e-03,-5.093630,0.302495
frame_000220,220,6.18689209e-02,-2.782737,1.73988990e-02,-4.051348,0.373401
frame_000230,230,5.86592257e-02,-2.836010,1.39472221e-02,-4.272475,0.369157
frame_000240,240,5.17547503e-02,-2.961239,9.97441752e-03,-4.607732,0.357777
frame_000250,250,1.94995757e-02,-3.937363,8.66672723e-03,-4.748264,0.245345
frame_000260,260,7.65085369e-02,-2.570353,1.59660362e-02,-4.137292,0.387619
frame_000270,270,8.04106593e-02,-2.520609,1.13601008e-02,-4.477648,0.388571
frame_000290,290,7.56403953e-02,-2.581765,1.19389585e-02,-4.427948,0.376524
frame_000300,300,5.47750928e-02,-2.904520,1.86465015e-02,-3.982097,0.346494
frame_000310,310,4.51048464e-02,-3.098766,1.62461260e-02,-4.119901,0.329295
frame_000330,330,6.32637814e-02,-2.760442,1.70477898e-02,-4.071735,0.371835
frame_000340,340,4.69633788e-02,-3.058387,1.05895150e-02,-4.547891,0.344158
frame_000350,350,4.20545749e-02,-3.168787,1.43549842e-02,-4.243658,0.334477
frame_000360,360,6.36185780e-02,-2.754850,1.66007150e-02,-4.098310,0.372961
frame_000390,390,4.42337766e-02,-3.118267,1.49808339e-02,-4.200984,0.361710
frame_000400,400,9.84014645e-02,-2.318700,3.31173258e-02,-3.407699,0.425235
frame_000410,410,5.93376309e-02,-2.824512,2.15747119e-02,-3.836233,0.374861
frame_000420,420,4.77898754e-02,-3.040941,2.51873236e-02,-3.681414,0.336456
frame_000430,430,8.01847652e-02,-2.523422,2.87302134e-02,-3.549806,0.384217
frame_000440,440,5.74734844e-02,-2.856432,2.53044028e-02,-3.676777,0.337545
frame_000450,450,3.24894115e-02,-3.426841,1.32212937e-02,-4.325927,0.287086
frame_000460,460,2.75877174e-02,-3.590385,1.85774660e-02,-3.985806,0.276624
frame_000470,470,6.01048060e-02,-2.811665,3.04156450e-02,-3.492798,0.337148
frame_000480,480,2.59763207e-02,-3.650570,1.92644691e-02,-3.949493,0.277247
frame_000490,490,2.64841691e-02,-3.631208,1.38675892e-02,-4.278201,0.286289
frame_000500,500,2.90635191e-02,-3.538272,2.93862249e-02,-3.527229,0.267886
frame_000510,510,2.13242956e-02,-3.847908,2.15191521e-02,-3.838812,0.248043
frame_000520,520,1.73480511e-02,-4.054275,1.67961606e-02,-4.086605,0.238428
frame_000540,540,4.21414524e-02,-3.166723,2.22398526e-02,-3.805869,0.307685
frame_000560,560,2.69343778e-02,-3.614352,9.40262634e-03,-4.666766,0.268158
frame_000570,570,7.59683847e-02,-2.577438,1.09835971e-02,-4.511352,0.366362
frame_000580,580,4.79789786e-02,-3.036992,8.62399413e-03,-4.753207,0.320122
frame_000590,590,8.02240893e-02,-2.522931,6.84999067e-03,-4.983508,0.374423
frame_000600,600,6.42970949e-02,-2.744241,7.32197790e-03,-4.916875,0.359378
frame_000610,610,5.49677350e-02,-2.901009,6.68085362e-03,-5.008510,0.347992
frame_000620,620,6.74794838e-02,-2.695932,9.43245826e-03,-4.663599,0.373372
frame_000630,630,4.48806398e-02,-3.103749,1.10551087e-02,-4.504863,0.341513
frame_000640,640,9.17475075e-02,-2.388715,1.79858959e-02,-4.018167,0.405514
frame_000650,650,6.19816855e-02,-2.780916,2.69190790e-02,-3.614920,0.382238
frame_000660,660,6.23402111e-02,-2.775149,3.61587488e-02,-3.319836,0.380914
frame_000670,670,5.70276603e-02,-2.864219,4.32239010e-02,-3.141362,0.370825
frame_000680,680,6.74155951e-02,-2.696879,4.43158470e-02,-3.116413,0.394340
frame_000690,690,6.59660771e-02,-2.718615,3.97484407e-02,-3.225185,0.389758
frame_000700,700,4.00702767e-02,-3.217120,3.70758891e-02,-3.294788,0.344511
frame_000710,710,3.98414060e-02,-3.222849,3.71778687e-02,-3.292042,0.343817
frame_000720,720,5.76910414e-02,-2.852653,4.05534089e-02,-3.205135,0.386915
frame_000730,730,5.26268445e-02,-2.944529,4.43953593e-02,-3.114620,0.375655
frame_000750,750,4.92472714e-03,-5.313486,1.17810260e-02,-4.441265,0.189590
frame_000760,760,1.65772233e-02,-4.099726,2.00091521e-02,-3.911566,0.290940
frame_000770,770,2.17586998e-02,-3.827742,2.14595749e-02,-3.841584,0.312031
frame_000780,780,2.01911759e-02,-3.902510,2.33650783e-02,-3.756513,0.330029
frame_000790,790,4.66851518e-02,-3.064329,4.99663769e-02,-2.996405,0.404092
frame_000800,800,3.24368104e-02,-3.428461,5.34461169e-02,-2.929081,0.378173
frame_000810,810,5.38724335e-03,-5.223721,1.81852240e-02,-4.007146,0.208729
frame_000820,820,6.40903553e-03,-5.050046,2.32651002e-02,-3.760801,0.208510
frame_000830,830,1.42756402e-02,-4.249201,4.01423817e-02,-3.215323,0.315839
frame_000840,840,1.53200524e-02,-4.178593,3.93113971e-02,-3.236241,0.300820
frame_000850,850,2.24595293e-02,-3.796040,6.25806056e-02,-2.771300,0.318849
frame_000860,860,1.00357020e-02,-4.601606,3.70353948e-02,-3.295881,0.220759
frame_000870,870,7.44450232e-03,-4.900279,2.70803864e-02,-3.608946,0.184238
frame_000890,890,1.62412822e-02,-4.120199,3.29483743e-02,-3.412813,0.256893
frame_000900,900,6.67661568e-03,-5.009144,5.74247574e-03,-5.159865,0.184064
frame_000910,910,1.89309176e-02,-3.966959,9.40739836e-03,-4.666259,0.274279
frame_000920,920,2.45744139e-02,-3.706049,9.85142306e-03,-4.620139,0.286802
frame_000940,940,3.27455848e-02,-3.418987,8.04608978e-03,-4.822569,0.331940
frame_000950,950,1.43029541e-02,-4.247289,3.95780793e-03,-5.532065,0.208407
frame_000960,960,2.41463427e-02,-3.723622,5.34916070e-03,-5.230816,0.273616
frame_000970,970,1.25941308e-02,-4.374524,3.22733075e-03,-5.736100,0.220027
frame_000990,990,1.19737629e-02,-4.425037,1.07323878e-02,-4.534489,0.147880
frame_001000,1000,8.95801652e-03,-4.715206,7.55341276e-03,-4.885756,0.136064
frame_001020,1020,6.77943602e-03,-4.993861,9.51024574e-03,-4.655386,0.120390
frame_001030,1030,1.04795834e-02,-4.558326,1.85725999e-02,-3.986068,0.152492
frame_001040,1040,8.26766621e-03,-4.795403,1.16314105e-02,-4.454046,0.142964
frame_001060,1060,5.18172560e-03,-5.262617,8.76837914e-03,-4.736603,0.124448
frame_001070,1070,9.62837040e-03,-4.643041,1.99362600e-02,-3.915215,0.156530
frame_001080,1080,1.37513261e-02,-4.286620,1.59755400e-02,-4.136696,0.178182
frame_001090,1090,8.10589921e-03,-4.815163,4.44265259e-03,-5.416504,0.150681
frame_001100,1100,1.23184994e-02,-4.396653,5.18886527e-03,-5.261240,0.191526
frame_001110,1110,7.57781416e-03,-4.882530,2.37103965e-03,-6.044427,0.161049
frame_001120,1120,1.24391476e-02,-4.386907,3.94774777e-03,-5.534610,0.199969
frame_001130,1130,1.73669029e-02,-4.053189,1.13560515e-02,-4.478005,0.221474
frame_001140,1140,1.94077343e-02,-3.942084,3.11752413e-02,-3.468131,0.200379
frame_001150,1150,8.16779677e-03,-4.807556,1.37080975e-02,-4.289769,0.154466
frame_001160,1160,7.77289877e-03,-4.857112,7.02525361e-03,-4.958244,0.150191
frame_001170,1170,5.93162654e-03,-5.127457,6.25022288e-03,-5.075138,0.131207
frame_001180,1180,5.02470648e-03,-5.293388,7.69589484e-03,-4.867068,0.109609
frame_001190,1190,1.97385065e-02,-3.925184,1.81815704e-02,-4.007347,0.186909
frame_001200,1200,1.46884825e-02,-4.220692,5.33695475e-03,-5.233100,0.164007
frame_001210,1210,1.45306541e-02,-4.231495,4.97216911e-03,-5.303899,0.161536
frame_001220,1220,1.30198924e-02,-4.341277,4.44509020e-03,-5.415955,0.144903
frame_001230,1230,1.41632967e-02,-4.257101,5.24867028e-03,-5.249781,0.142135
frame_001240,1240,2.97692548e-02,-3.514279,1.07769241e-02,-4.530348,0.209936
frame_001250,1250,1.89598370e-02,-3.965432,1.12011029e-02,-4.491743,0.175380
frame_001260,1260,2.98647005e-02,-3.511078,2.42472105e-02,-3.719454,0.214114
frame_001270,1270,1.52430395e-02,-4.183632,2.81905428e-02,-3.568769,0.174386
frame_001280,1280,1.44284163e-02,-4.238556,2.78164864e-02,-3.582126,0.170682
frame_001290,1290,2.06209738e-02,-3.881447,3.00535245e-02,-3.504775,0.191740
frame_001300,1300,1.43772820e-02,-4.242106,2.58301132e-02,-3.656214,0.172387
frame_001310,1310,1.86105017e-02,-3.984029,4.50186427e-02,-3.100679,0.210490
frame_001320,1320,5.48776565e-03,-5.205234,1.63337900e-02,-4.114519,0.146872
frame_001330,1330,1.61870532e-02,-4.123544,6.29682413e-02,-2.765125,0.231475
frame_001340,1340,8.52933712e-03,-4.764244,2.12759454e-02,-3.850178,0.220707
frame_001350,1350,1.69434510e-02,-4.077874,4.40444090e-02,-3.122557,0.279768
frame_001360,1360,1.48305288e-02,-4.211067,5.23292484e-02,-2.950200,0.253556
frame_001370,1370,8.46848823e-03,-4.771403,3.43046837e-02,-3.372473,0.198182
frame_001380,1380,1.72184240e-02,-4.061775,6.78192930e-02,-2.690909,0.263133
frame_001390,1390,1.47066778e-02,-4.219454,4.19746694e-02,-3.170689,0.276885
frame_001400,1400,1.99777409e-02,-3.913137,3.21960390e-02,-3.435912,0.323981
frame_001410,1410,1.98141076e-02,-3.921361,4.08420595e-02,-3.198043,0.316095
frame_001420,1420,2.06990615e-02,-3.877667,2.89499452e-02,-3.542187,0.319690
frame_001430,1430,6.12495979e-03,-5.095383,8.04620841e-03,-4.822554,0.203124
frame_001440,1440,2.35278774e-02,-3.749569,2.62151550e-02,-3.641418,0.333663
frame_001450,1450,3.84841487e-02,-3.257509,2.48376472e-02,-3.695395,0.381832
frame_001460,1460,6.37158900e-02,-2.753321,3.35384251e-02,-3.395063,0.419902
frame_001470,1470,6.41184896e-02,-2.747023,3.47083066e-02,-3.360776,0.419513
frame_001480,1480,6.88408241e-02,-2.675958,3.58664069e-02,-3.327954,0.421246
frame_001490,1490,5.36659844e-02,-2.924976,3.39022149e-02,-3.384275,0.400933
frame_001500,1500,4.57219146e-02,-3.085178,3.12424340e-02,-3.465978,0.384525
frame_001510,1510,5.51811531e-02,-2.897134,3.37781365e-02,-3.387942,0.406846
frame_001520,1520,6.19132183e-02,-2.782022,4.22911230e-02,-3.163178,0.413273
frame_001530,1530,5.52665554e-02,-2.895587,4.78215409e-02,-3.040279,0.398015
frame_001540,1540,4.25858609e-02,-3.156233,5.34176665e-02,-2.929614,0.373889
frame_001550,1550,3.78255099e-02,-3.274772,5.01514238e-02,-2.992708,0.362010
frame_001560,1560,2.26689987e-02,-3.786757,3.43187450e-02,-3.372064,0.324752
frame_001570,1570,3.93442772e-02,-3.235405,7.83242829e-02,-2.546898,0.364083
frame_001580,1580,5.67695983e-02,-2.868754,1.11680324e-01,-2.192115,0.403570
frame_001600,1600,6.98243128e-03,-4.964358,5.22942136e-02,-2.950870,0.205533
frame_001610,1610,1.60458125e-02,-4.132307,1.25690447e-01,-2.073933,0.305685
frame_001620,1620,1.78811327e-02,-4.024009,6.85294802e-02,-2.680491,0.342010
frame_001630,1630,2.00800002e-02,-3.908031,5.76637838e-02,-2.853126,0.341988
frame_001640,1640,1.44776562e-02,-4.235149,5.64556903e-02,-2.874299,0.257268
frame_001650,1650,1.88359544e-02,-3.971988,4.82851130e-02,-3.030632,0.280293
frame_001660,1660,2.17308383e-02,-3.829023,5.34194292e-02,-2.929581,0.283875
frame_001670,1670,2.58774571e-02,-3.654383,5.65718344e-02,-2.872244,0.284962
frame_001680,1680,2.81643681e-02,-3.569698,5.34534415e-02,-2.928944,0.286305
frame_001690,1690,3.09279505e-02,-3.476095,5.15058417e-02,-2.966060,0.288390
frame_001700,1700,2.45334320e-02,-3.707719,4.48247516e-02,-3.104995,0.268001
frame_001710,1710,2.87750047e-02,-3.548248,4.85665811e-02,-3.024820,0.274694
frame_001720,1720,2.12376788e-02,-3.851978,3.89906704e-02,-3.244433,0.249514
frame_001730,1730,2.09724754e-02,-3.864544,3.62880788e-02,-3.316266,0.237170
frame_001740,1740,2.26032622e-02,-3.789661,3.85654247e-02,-3.255399,0.245531
frame_001760,1760,2.99489852e-02,-3.508260,4.27472573e-02,-3.152450,0.275895
frame_001770,1770,2.87091378e-02,-3.550540,4.44694737e-02,-3.112952,0.270156
frame_001780,1780,1.85989328e-02,-3.984651,3.47651258e-02,-3.359141,0.228465
frame_001790,1790,1.29063930e-02,-4.350033,2.63906625e-02,-3.634745,0.194693
frame_001800,1800,1.96035355e-02,-3.932045,4.37020472e-02,-3.130360,0.238104
