name,frame,log_lapvar,reblur,log_hf025,sigma_init
frame_000000.jpg,0,-2.142326,0.441069,-3.325779,0.2000
frame_000010.jpg,10,-2.020410,0.454720,-3.275158,0.2000
frame_000020.jpg,20,-1.898491,0.462222,-3.212555,0.2000
frame_000030.jpg,30,-2.739523,0.386928,-3.793829,0.2000
frame_000040.jpg,40,-2.825401,0.371053,-3.552014,0.2000
frame_000050.jpg,50,-2.749294,0.376534,-3.553032,0.2000
frame_000060.jpg,60,-2.867904,0.367974,-3.852074,0.2000
frame_000070.jpg,70,-3.467288,0.329913,-3.681804,0.7705
frame_000100.jpg,100,-3.547080,0.308521,-3.729412,0.8502
frame_000110.jpg,110,-2.893044,0.370460,-3.564047,0.2000
frame_000120.jpg,120,-3.021654,0.371472,-3.884400,0.3248
frame_000130.jpg,130,-3.232811,0.326195,-3.969962,0.5360
frame_000140.jpg,140,-5.196040,0.192668,-5.453467,2.4992
frame_000150.jpg,150,-3.610558,0.327797,-4.296170,0.9137
frame_000160.jpg,160,-3.650321,0.306763,-4.278951,0.9535
frame_000170.jpg,170,-2.929093,0.379073,-3.813809,0.2323
frame_000180.jpg,180,-3.068486,0.343767,-3.635379,0.3717
frame_000190.jpg,190,-2.373862,0.414469,-3.636064,0.2000
frame_000200.jpg,200,-2.901677,0.360804,-3.685184,0.2048
frame_000210.jpg,210,-3.525828,0.302495,-5.093630,0.8290
frame_000220.jpg,220,-2.782737,0.373401,-4.051348,0.2000
frame_000230.jpg,230,-2.836010,0.369157,-4.272475,0.2000
frame_000240.jpg,240,-2.961239,0.357777,-4.607732,0.2644
frame_000250.jpg,250,-3.937363,0.245345,-4.748264,1.2405
frame_000260.jpg,260,-2.570353,0.387619,-4.137292,0.2000
frame_000270.jpg,270,-2.520609,0.388571,-4.477648,0.2000
frame_000290.jpg,290,-2.581765,0.376524,-4.427948,0.2000
frame_000300.jpg,300,-2.904520,0.346494,-3.982097,0.2077
frame_000310.jpg,310,-3.098766,0.329295,-4.119901,0.4019
frame_000330.jpg,330,-2.760442,0.371835,-4.071735,0.2000
frame_000340.jpg,340,-3.058387,0.344158,-4.547891,0.3616
frame_000350.jpg,350,-3.168787,0.334477,-4.243658,0.4720
frame_000360.jpg,360,-2.754850,0.372961,-4.098310,0.2000
frame_000390.jpg,390,-3.118267,0.361710,-4.200984,0.4214
frame_000400.jpg,400,-2.318700,0.425235,-3.407699,0.2000
frame_000410.jpg,410,-2.824512,0.374861,-3.836233,0.2000
frame_000420.jpg,420,-3.040941,0.336456,-3.681414,0.3441
frame_000430.jpg,430,-2.523422,0.384217,-3.549806,0.2000
frame_000440.jpg,440,-2.856432,0.337545,-3.676777,0.2000
frame_000450.jpg,450,-3.426841,0.287086,-4.325927,0.7300
frame_000460.jpg,460,-3.590385,0.276624,-3.985806,0.8936
frame_000470.jpg,470,-2.811665,0.337148,-3.492798,0.2000
