/home/bkai/miniconda3/envs/fastgs2/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/bkai/miniconda3/envs/fastgs2/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Setting up [LPIPS] perceptual loss: trunk [vgg], v[0.1], spatial [off]
Loading model from: /home/bkai/miniconda3/envs/fastgs2/lib/python3.10/site-packages/lpips/weights/v0.1/vgg.pth
pool=p7  k=7  views=60
  [degeneracy check k=7] max|median-trim1|=2.11e-01  max|median-winsor1|=2.43e-01
  10/60  (476s)
  20/60  (1178s)
  30/60  (2064s)
  40/60  (2608s)
  50/60  (3119s)
  60/60  (3571s)
wrote /home/bkai/.claude/jobs/1c9cf7e9/tmp/agg_p7.json

aggregator                SCORE  d(mean)     PSNR    SSIM    LPIPS
winsor1                 77.0016  +0.0088  25.0978  0.8704   0.1042
blend(a=0.75)           76.9950  +0.0022  25.1046  0.8705   0.1046
trim1                   76.9941  +0.0013  25.0927  0.8703   0.1043
blend(a=0.5)            76.9936  +0.0008  25.0871  0.8700   0.1040
mean                    76.9928  +0.0000  25.1119  0.8706   0.1048
pmean(p=0.5)            76.9912  -0.0016  25.1039  0.8706   0.1047
huber(c=4.0)            76.9903  -0.0025  25.1086  0.8706   0.1048
geomean(p=0)            76.9828  -0.0099  25.0894  0.8706   0.1047
lumguided(med)          76.9813  -0.0114  25.0306  0.8686   0.1023
blend(a=0.25)           76.9812  -0.0116  25.0597  0.8692   0.1033
pmean(p=2)              76.9791  -0.0136  25.1120  0.8703   0.1049
mean_linearRGB          76.9773  -0.0155  25.1088  0.8703   0.1049
huber(c=2.0)            76.9752  -0.0176  25.0942  0.8704   0.1048
winsor2                 76.9722  -0.0206  25.0622  0.8695   0.1037
trim2                   76.9686  -0.0242  25.0601  0.8695   0.1038
huber-lum(c=1.345)      76.9675  -0.0253  25.0800  0.8702   0.1046
invvar(r=24)            76.9663  -0.0264  25.0800  0.8700   0.1046
huber(c=1.345)          76.9650  -0.0278  25.0801  0.8702   0.1047
tukey(c=8.0)            76.9649  -0.0279  25.0879  0.8703   0.1049
invvar(r=8)             76.9647  -0.0280  25.0723  0.8700   0.1045
chromarobust            76.9642  -0.0285  25.0995  0.8697   0.1047
hybridfreq(r=2)         76.9640  -0.0288  25.0386  0.8680   0.1025
vecmed                  76.9630  -0.0298  25.0100  0.8673   0.1015
huber(c=1.0)            76.9591  -0.0337  25.0686  0.8699   0.1045
hybridfreq(r=8)         76.9526  -0.0401  25.0297  0.8680   0.1026
hybridfreq(r=32)        76.9512  -0.0415  25.0275  0.8680   0.1026
median                  76.9490  -0.0438  25.0226  0.8680   0.1026
closest2med             76.9490  -0.0438  25.0226  0.8680   0.1026
huber(c=0.5)            76.9479  -0.0448  25.0458  0.8692   0.1039
softmax(b=2.0)          76.9335  -0.0593  25.0492  0.8695   0.1045
tukey-lum(c=4.685)      76.9130  -0.0798  25.0391  0.8694   0.1048
tukey(c=4.685)          76.9098  -0.0829  25.0392  0.8694   0.1049
softmax(b=1.0)          76.8978  -0.0950  25.0000  0.8679   0.1035
softmax(b=0.5)          76.8940  -0.0987  24.9891  0.8670   0.1027
blend(a=-0.25)          76.8896  -0.1032  24.9762  0.8664   0.1022
tukey(c=3.0)            76.8510  -0.1417  24.9817  0.8678   0.1043
tukey(c=2.0)            76.8157  -0.1771  24.9458  0.8661   0.1034
blend(a=-0.5)           76.7958  -0.1970  24.9208  0.8645   0.1023
patchsel64              75.9259  -1.0669  24.5219  0.8536   0.1099
