Setting up [LPIPS] perceptual loss: trunk [vgg], v[0.1], spatial [off]
/home/bkai/miniconda3/envs/fastgs2/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/bkai/miniconda3/envs/fastgs2/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Loading model from: /home/bkai/miniconda3/envs/fastgs2/lib/python3.10/site-packages/lpips/weights/v0.1/vgg.pth
  0/60  5s
  10/60  57s
  20/60  107s
  30/60  150s
  40/60  193s
  50/60  231s

ladder  n=60  lam=0.0  fieldgain=1.3  FULL SHIPPED CHAIN
                       arm  fam     SCORE     PSNR    SSIM   LPIPS   vs base   MB/60
                 Q6+AA+FGS  FGS   78.5911  26.2540  0.8935  0.0992   +0.9316    60.7
             Q5+AA(B8pure)   AA   78.5655  26.1848  0.8922  0.0978   +0.9060    61.2
               Q6+FGS(e17)  FGS   78.5653  26.2311  0.8930  0.0991   +0.9059    61.2
               Q6+4foreign  FGS   78.5457  26.2611  0.8936  0.1005   +0.8862    60.0
             Q6+AA(B8pure)   AA   78.5260  26.2008  0.8924  0.0992   +0.8666    61.1
               Q4+FGS(e17)  FGS   78.5225  26.1825  0.8922  0.0988   +0.8631    61.1
             Q4+AA(B8pure)   AA   78.4670  26.1415  0.8914  0.0990   +0.8076    61.0
                 Q5_UTonly  UTd   78.4621  26.1064  0.8905  0.0979   +0.8026    61.9
               Q3+FGS(e17)  FGS   78.4596  26.1459  0.8912  0.0991   +0.8002    61.2
                 Q6_UTonly  UTd   78.4185  26.1298  0.8909  0.0996   +0.7591    61.8
             Q3+AA(B8pure)   AA   78.3931  26.0980  0.8904  0.0994   +0.7336    61.1
                 Q4_UTonly   UT   78.3305  26.0432  0.8893  0.0994   +0.6710    61.9
                 Q3_UTonly   UT   78.2056  25.9656  0.8875  0.1000   +0.5461    62.2
             Q2+AA(B8pure)   AA   78.0787  25.9444  0.8866  0.1021   +0.4193    61.1
                 Q2_UTonly   UT   77.6594  25.6918  0.8807  0.1044   +0.0000    62.7
