Setting up [LPIPS] perceptual loss: trunk [vgg], v[0.1], spatial [off]
/home/bkai/miniconda3/envs/fastgs2/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/bkai/miniconda3/envs/fastgs2/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Loading model from: /home/bkai/miniconda3/envs/fastgs2/lib/python3.10/site-packages/lpips/weights/v0.1/vgg.pth
  0/60  7s
  10/60  81s
  20/60  162s
  30/60  249s
  40/60  430s
  50/60  571s

wsweep  n=60  lam=1.0  fieldgain=1.3  FULL SHIPPED CHAIN
                       arm  fam     SCORE     PSNR    SSIM   LPIPS   vs base   MB/60
             AA+FGS f=0.30  FGS   78.7797  26.1613  0.8945  0.0938   +0.2520    62.2
             AA+FGS f=0.20  FGS   78.7599  26.1381  0.8940  0.0935   +0.2321    62.5
           FGS(e17) f=0.20  FGS   78.7542  26.1354  0.8938  0.0935   +0.2265    62.7
           FGS(e17) f=0.30  FGS   78.7399  26.1368  0.8939  0.0940   +0.2122    62.5
           FGS(e17) f=0.15  FGS   78.7290  26.1168  0.8934  0.0936   +0.2013    62.8
         AA(B8pure) f=0.20   AA   78.6988  26.0989  0.8931  0.0938   +0.1711    62.5
         AA(B8pure) f=0.15   AA   78.6831  26.0875  0.8928  0.0938   +0.1553    62.7
           FGS(e17) f=0.10  FGS   78.6812  26.0867  0.8927  0.0938   +0.1535    62.9
             AA+FGS f=0.10  FGS   78.6743  26.0814  0.8926  0.0938   +0.1466    62.9
         AA(B8pure) f=0.30   AA   78.6674  26.0905  0.8929  0.0943   +0.1397    62.3
         AA(B8pure) f=0.10   AA   78.6493  26.0660  0.8923  0.0940   +0.1216    62.9
           FGS(e17) f=0.40  FGS   78.6351  26.0901  0.8929  0.0952   +0.1074    62.5
           FGS(e17) f=0.05  FGS   78.6146  26.0457  0.8917  0.0941   +0.0869    63.1
         AA(B8pure) f=0.05   AA   78.5979  26.0349  0.8915  0.0942   +0.0702    63.0
         AA(B8pure) f=0.40   AA   78.5562  26.0411  0.8918  0.0955   +0.0285    62.2
                 base_k4UT   UT   78.5277  25.9948  0.8905  0.0946   +0.0000    63.3
