386 images x 14 settings
  0/386
  50/386
  100/386
  150/386
  200/386
  250/386
  300/386
  350/386

       setting   HCM0421   HCM0539   HCM0540   HCM0644   HCM0674    bonsai     chair   TOTAL_MB      MiB
  base_q100ss2     63.65     62.61     63.39     60.08     61.12     17.44     28.47     356.82   340.29
        q99ss2     56.60     55.58     56.33     53.14     54.13     14.04     24.20     314.08   299.53
        q98ss2     48.01     47.02     47.70     44.83     45.70     11.36     20.09     264.76   252.50
        q97ss2     43.24     42.32     42.93     40.36     41.08     10.37     18.17     238.51   227.46
        q95ss2     35.76     34.95     35.47     33.35     33.88      8.24     14.85     196.55   187.45
       q100ss1     73.51     72.46     73.30     69.80     70.86     21.07     32.97     414.02   394.84
       q100ss0     90.79     89.66     90.73     86.87     87.81     27.09     40.40     513.40   489.61
      rgb_q100    158.31    154.90    157.65    149.82    151.81     39.81     70.84     883.21   842.29
       rgb_q97    117.77    114.75    116.97    110.33    111.85     26.85     50.07     648.64   618.59
       rgb_q95     98.71     96.08     97.90     92.35     93.51     21.84     41.57     542.03   516.92
       rgb_q92     80.01     77.88     79.32     74.85     75.58     16.21     33.07     436.98   416.73
       rgb_q90     73.55     71.62     72.92     68.94     69.47     14.94     30.62     402.13   383.50
       rgb_q87     64.70     63.01     64.15     60.76     61.03     12.80     26.93     353.42   337.05
        noprog     66.50     65.57     66.26     63.22     64.13     18.57     30.34     374.64   357.28
