Setting up [LPIPS] perceptual loss: trunk [vgg], v[0.1], spatial [off]
Loading model from: /home/bkai/miniconda3/envs/fastgs2/lib/python3.10/site-packages/lpips/weights/v0.1/vgg.pth
harness: 60 poses x 4 members ['m1', 'm2', 'm3', 'm4']

config                                 SCORE   dScore     PSNR    SSIM    LPIPS
pixelmean                            76.6749  +0.0000  24.9018  0.8650   0.1054   [18s]
maxmag_n1_win3                       76.2423  -0.4326  24.4118  0.8550   0.1014   [18s]
median_n1                            76.6144  -0.0605  24.8766  0.8644   0.1061   [18s]
pnorm_n1_p2.0_win3                   76.8351  +0.1603  24.8543  0.8650   0.1007   [19s]
energy_n1_lam1.0_win5                76.8491  +0.1742  24.8419  0.8654   0.1005   [17s]
inject_n1_j0_lam0.5                  76.3639  -0.3109  24.7963  0.8603   0.1081   [17s]
maxmag_n2_win3                       76.0900  -0.5849  24.3146  0.8542   0.1031   [18s]
median_n2                            76.6106  -0.0643  24.8722  0.8643   0.1061   [17s]
pnorm_n2_p2.0_win3                   76.8189  +0.1441  24.8434  0.8650   0.1009   [16s]
energy_n2_lam1.0_win5                76.8366  +0.1618  24.8299  0.8655   0.1007   [19s]
inject_n2_j0_lam0.5                  76.2762  -0.3987  24.7556  0.8592   0.1088   [16s]
maxmag_n3_win3                       76.0251  -0.6497  24.2669  0.8539   0.1038   [16s]
median_n3                            76.6089  -0.0660  24.8702  0.8643   0.1061   [11s]
pnorm_n3_p2.0_win3                   76.8122  +0.1374  24.8393  0.8650   0.1010   [10s]
energy_n3_lam1.0_win5                76.8306  +0.1557  24.8253  0.8655   0.1008   [7s]
inject_n3_j0_lam0.5                  76.2391  -0.4357  24.7329  0.8589   0.1092   [5s]
maxmag_n1_win1                       75.9599  -0.7149  24.1755  0.8534   0.1037   [5s]
maxmag_n1_win9                       76.2852  -0.3897  24.5198  0.8561   0.1028   [5s]
pnorm_n1_p1.0_win3                   76.7990  +0.1241  24.8818  0.8653   0.1022   [5s]
pnorm_n1_p4.0_win3                   76.8193  +0.1444  24.7961  0.8640   0.0995   [6s]
energy_n1_lam0.5_win5                76.7932  +0.1184  24.8746  0.8654   0.1023   [7s]
energy_n1_lam2.0_win5                76.8285  +0.1536  24.7563  0.8649   0.0993   [6s]
inject_n1_j0_lam1.0                  75.7654  -0.9094  24.5513  0.8503   0.1119   [6s]
gain_n1_g1.02                        76.7377  +0.0628  24.8810  0.8653   0.1037   [6s]
gain_n1_g1.05                        76.7339  +0.0590  24.8439  0.8655   0.1035   [6s]
gain_n1_g1.1                         76.6916  +0.0167  24.7622  0.8654   0.1032   [7s]
gain_n1_g0.98                        76.5887  -0.0862  24.9162  0.8646   0.1075   [6s]
median_n5                            76.6068  -0.0681  24.8680  0.8643   0.1061   [8s]
maxmag_n5_win3                       75.9832  -0.6916  24.2299  0.8536   0.1041   [6s]
