# name|pool|ds|smooth|poly|up|remap
mean_ds8|mean|8|0|0|cubic|cubic
median_ds4|median|4|0|0|cubic|cubic
median_ds8|median|8|0|0|cubic|cubic
median_ds16|median|16|0|0|cubic|cubic
median_ds32|median|32|0|0|cubic|cubic
med_ds8_g1|median|8|1|0|cubic|cubic
poly4_ds8|median|8|0|4|cubic|cubic
poly8_ds8|median|8|0|8|cubic|cubic
med_ds8_rtorch|median|8|0|0|cubic|torch_bicubic
med_ds8_rlan|median|8|0|0|cubic|lanczos
med_ds8_rspl5|median|8|0|0|cubic|spline5
med_ds4_rlan|median|4|0|0|cubic|lanczos
med_ds16_rlan|median|16|0|0|cubic|lanczos
med_ds8_g1_rlan|median|8|1|0|cubic|lanczos
