Setting up [LPIPS] perceptual loss: trunk [vgg], v[0.1], spatial [off]
/home/bkai/miniconda3/envs/fastgs2/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/bkai/miniconda3/envs/fastgs2/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Loading model from: /home/bkai/miniconda3/envs/fastgs2/lib/python3.10/site-packages/lpips/weights/v0.1/vgg.pth
training restorer on HCM0181: 60 production test-pose pairs
  [0] 0.0762
  [1000] 0.0643
  [2000] 0.0606

    scene                arm     SCORE    LPIPS    SSIM     PSNR     delta
  HCM0193           base_png   75.7534   0.1269  0.8473  25.6807   +0.0000
  HCM0193           rest_png   75.5163   0.1246  0.8397  25.5161   -0.2371
  HCM0193           base_jpg   75.6975   0.1272  0.8461  25.6710   +0.0000
  HCM0193           rest_jpg   75.3119   0.1272  0.8370  25.4853   -0.3856
                -> PNG delta  -0.2371      JPG delta  -0.3856

  HCM0204           base_png   75.7235   0.1208  0.8541  24.8906   +0.0000
  HCM0204           rest_png   75.5711   0.1185  0.8481  24.7832   -0.1524
  HCM0204           base_jpg   75.6837   0.1208  0.8528  24.8844   +0.0000
  HCM0204           rest_jpg   75.3855   0.1209  0.8455  24.7595   -0.2983
                -> PNG delta  -0.1524      JPG delta  -0.2983

  hcm0034           base_png   76.1584   0.1217  0.8647  25.1418   +0.0000
  hcm0034           rest_png   75.9883   0.1196  0.8582  25.0412   -0.1701
  hcm0034           base_jpg   76.1219   0.1215  0.8633  25.1377   +0.0000
  hcm0034           rest_jpg   75.7818   0.1224  0.8555  25.0205   -0.3401
                -> PNG delta  -0.1701      JPG delta  -0.3401

